gene_id,average_length
ENSG00000160055.18,459
ENSG00000084623.10,1147.5
ENSG00000183615.5,492
ENSG00000182866.15,1453.5
ENSG00000116478.10,1449
ENSG00000175130.6,588
ENSG00000162526.6,807
ENSG00000160058.17,1239
ENSG00000176261.14,411
ENSG00000162521.17,1242
ENSG00000162520.13,1440
ENSG00000134684.9,1587
ENSG00000160097.14,550.5
ENSG00000121905.8,582
ENSG00000121900.17,589.5
ENSG00000116514.15,2053
ENSG00000004455.15,618.6
ENSG00000142920.15,1413
ENSG00000116525.12,1246.5
ENSG00000160094.13,1263
ENSG00000134686.15,2253.6
ENSG00000121904.16,10680
ENSG00000142698.13,1512
ENSG00000189280.3,822
ENSG00000189433.5,801
ENSG00000188910.7,813
ENSG00000163867.15,3978
ENSG00000116560.9,2124
ENSG00000146463.10,4647
ENSG00000142687.16,3150
ENSG00000020129.14,2164.5
ENSG00000116819.6,1329
ENSG00000126067.10,430.5
ENSG00000142686.7,690
ENSG00000092853.12,3949
ENSG00000134698.10,2586
ENSG00000092847.9,2533
ENSG00000126070.17,2232
ENSG00000092850.10,1293
ENSG00000116863.10,1092
ENSG00000171812.9,2014.5
ENSG00000054116.10,465
ENSG00000054118.12,2868
ENSG00000142694.6,498
ENSG00000196182.9,1315.5
ENSG00000181817.5,372
ENSG00000116885.17,994
ENSG00000116898.10,774
ENSG00000119535.16,2485
ENSG00000163873.8,2760
ENSG00000163874.8,1800
ENSG00000163875.14,587
ENSG00000163877.9,1191
ENSG00000163879.10,777
ENSG00000134697.11,2196
ENSG00000116922.13,612
ENSG00000134690.9,843
ENSG00000183317.15,1957.5
ENSG00000185090.13,945
ENSG00000197982.13,238.5
ENSG00000183431.10,1506
ENSG00000183520.10,762
ENSG00000116954.7,1200
ENSG00000214114.7,312
ENSG00000174574.14,511.5
ENSG00000168653.9,321
ENSG00000127603.22,19480.5
ENSG00000183682.7,1209
ENSG00000090621.12,1938
ENSG00000163909.7,987
ENSG00000116981.3,1107
ENSG00000116983.11,468
ENSG00000084072.15,914
ENSG00000116985.9,1209
ENSG00000198754.5,1554
ENSG00000168389.16,1450
ENSG00000131238.15,794
ENSG00000117000.8,5745
ENSG00000084073.7,1428
ENSG00000049089.12,2070
ENSG00000084070.10,1203.75
ENSG00000187801.13,1605
ENSG00000164002.10,1122
ENSG00000117010.14,1137
ENSG00000066136.18,1082.142857
ENSG00000117013.13,2088
ENSG00000179862.6,555
ENSG00000171793.12,1542
ENSG00000171790.14,1117
ENSG00000010803.15,1793.625
ENSG00000127129.8,537
ENSG00000127124.12,7219.5
ENSG00000044012.3,339
ENSG00000197273.3,348
ENSG00000177181.13,1176
ENSG00000066185.11,1098
ENSG00000171960.9,534
ENSG00000065978.16,975
ENSG00000164007.9,656
ENSG00000117385.14,2240
ENSG00000164008.12,600
ENSG00000177868.10,201
ENSG00000164010.12,1428
ENSG00000164011.16,901.5
ENSG00000117394.18,1479
ENSG00000117395.9,1003.5
ENSG00000243710.6,3234
ENSG00000179178.9,660
ENSG00000253313.4,342
ENSG00000066056.12,3417
ENSG00000117400.13,1908
ENSG00000117399.12,1500
ENSG00000066322.11,799.5
ENSG00000159479.15,751
ENSG00000178922.15,826.5
ENSG00000142949.15,5710.5
ENSG00000066135.11,3195
ENSG00000126091.18,907.9090909
ENSG00000117407.15,675
ENSG00000117408.9,2892
ENSG00000132768.12,1128
ENSG00000117410.12,627
ENSG00000117411.15,1162.5
ENSG00000159214.11,924
ENSG00000171872.4,1170
ENSG00000178028.12,1404
ENSG00000187147.16,1701
ENSG00000126106.12,789
ENSG00000142945.11,2097
ENSG00000142937.10,627
ENSG00000142959.4,1422
ENSG00000173846.11,1941
ENSG00000117425.12,3526.5
ENSG00000070785.15,1268
ENSG00000126088.11,1104
ENSG00000186603.5,1116
ENSG00000132781.16,1599
ENSG00000132773.10,1533
ENSG00000117450.12,600
ENSG00000117448.12,978
ENSG00000132780.15,1964
ENSG00000159592.9,1425
ENSG00000117461.13,1297.5
ENSG00000117472.8,726
ENSG00000085998.12,2129
ENSG00000085999.10,2244
ENSG00000132128.15,2439
ENSG00000117481.9,1081.5
ENSG00000117480.14,1740
ENSG00000197587.9,1141.5
ENSG00000079277.18,1203
ENSG00000142961.13,651
ENSG00000123472.11,904.5
ENSG00000142973.11,1523
ENSG00000187048.11,1413
ENSG00000186377.7,1530
ENSG00000186160.4,1518
ENSG00000162366.6,345
ENSG00000162367.10,996
ENSG00000123473.14,3788.4
ENSG00000162368.12,606
ENSG00000186790.5,960
ENSG00000132122.10,1437
ENSG00000162373.11,1266
ENSG00000162374.15,1043
ENSG00000185104.18,1953
ENSG00000123080.9,507
ENSG00000123091.4,465
ENSG00000085832.15,2460.75
ENSG00000117859.17,2008.285714
ENSG00000078618.18,3460
ENSG00000169213.6,660
ENSG00000117862.10,519
ENSG00000198841.3,1065
ENSG00000157077.13,4189.5
ENSG00000085840.11,2586
ENSG00000134748.12,939
ENSG00000116157.5,564
ENSG00000162377.5,696
ENSG00000121310.15,800
ENSG00000116171.15,1026
ENSG00000174348.12,1842
ENSG00000162383.10,1359.75
ENSG00000157184.5,1942.5
ENSG00000162384.12,483
ENSG00000162385.9,441
ENSG00000157193.13,2523
ENSG00000143006.7,1029
ENSG00000174332.4,2125.5
ENSG00000058804.11,2025
ENSG00000058799.12,921
ENSG00000116212.13,1287
ENSG00000116209.10,663
ENSG00000116205.9,627
ENSG00000116221.14,1362
ENSG00000157216.14,1049.25
ENSG00000162390.16,1804.5
ENSG00000162391.10,1758
ENSG00000243725.5,1164
ENSG00000162396.5,1428
ENSG00000006555.9,1414.5
ENSG00000162398.10,1251
ENSG00000116133.10,1551
ENSG00000143001.4,633
ENSG00000162399.6,963
ENSG00000169174.10,2079
ENSG00000162407.8,936
ENSG00000162409.9,1659
ENSG00000157131.10,1755
ENSG00000173406.14,1668
ENSG00000162600.10,1575
ENSG00000184292.6,972
ENSG00000177606.6,996
ENSG00000172456.15,1383.75
ENSG00000134709.9,2187
ENSG00000134716.8,1509
ENSG00000162598.12,1641
ENSG00000162599.14,1549.5
ENSG00000132849.17,5527.5
ENSG00000240563.1,2598
ENSG00000132854.17,2046
ENSG00000162607.11,2358
ENSG00000132855.4,1383
ENSG00000125703.13,1377
ENSG00000187140.5,1437
ENSG00000079739.14,1510
ENSG00000185483.10,1998
ENSG00000177414.12,817.5
ENSG00000158966.12,3825
ENSG00000162433.13,594
ENSG00000213625.7,409.5
ENSG00000116678.17,2946.75
ENSG00000184588.16,1896
ENSG00000152760.8,540
ENSG00000152763.15,2092.5
ENSG00000116704.7,1068
ENSG00000162594.13,1890
ENSG00000081985.9,2202
ENSG00000142864.13,1195.5
ENSG00000116717.10,359
ENSG00000162595.4,690
ENSG00000116729.12,1537
ENSG00000116745.6,1602
ENSG00000024526.15,2010
ENSG00000066557.5,1809
ENSG00000116754.12,1461
ENSG00000118454.11,1626
ENSG00000116761.10,1142
ENSG00000050628.19,1165.5
ENSG00000132485.11,978
ENSG00000172260.12,1065
ENSG00000254685.5,1106
ENSG00000116783.13,2508
ENSG00000116791.12,819
ENSG00000162623.14,730.5
ENSG00000137968.15,2157
ENSG00000117054.12,1303
ENSG00000137955.14,996
ENSG00000057468.6,2811
ENSG00000184005.10,918
ENSG00000117069.13,1011
ENSG00000142892.13,1188
ENSG00000154027.17,1650
ENSG00000036549.11,1971
ENSG00000077254.13,2684
ENSG00000180488.13,1830.5
ENSG00000162613.15,2000
ENSG00000162616.8,1014
ENSG00000137960.5,948
ENSG00000122420.8,987
ENSG00000137959.14,972
ENSG00000137965.9,1335
ENSG00000117114.18,3833.142857
ENSG00000137941.15,2664
ENSG00000142875.18,980.1818182
ENSG00000137976.7,774
ENSG00000117133.9,1050
ENSG00000174021.9,207
ENSG00000117151.11,1158
ENSG00000117155.15,1804.5
ENSG00000171517.5,1062
ENSG00000055732.11,1578
ENSG00000162643.11,2617.5
ENSG00000162642.12,549
ENSG00000142867.11,685.5
ENSG00000153904.17,655
ENSG00000142871.14,1146
ENSG00000117174.9,1354.5
ENSG00000137975.7,2832
ENSG00000016490.14,2745
ENSG00000097033.13,1075.8
ENSG00000153936.15,880.5
ENSG00000143013.11,498
ENSG00000065243.17,2883
ENSG00000137947.10,951
ENSG00000213516.8,1173
ENSG00000117226.10,1788
ENSG00000117228.9,1779
ENSG00000162645.11,1776
ENSG00000213512.1,1917
ENSG00000162654.8,1923
ENSG00000154451.13,1761
ENSG00000183347.14,1902
ENSG00000197147.11,2412
ENSG00000171488.13,2412
ENSG00000171492.13,2577
ENSG00000162664.15,1148
ENSG00000143032.7,1164
ENSG00000122482.19,2151
ENSG00000097046.11,1725
ENSG00000137948.17,2725
ENSG00000172031.6,1089
ENSG00000174842.15,1785
ENSG00000122484.8,1839
ENSG00000122406.11,894
ENSG00000143033.16,1623
ENSG00000117500.11,545
ENSG00000117505.11,531
ENSG00000137936.15,2063
ENSG00000023909.8,792
ENSG00000198691.10,6822
ENSG00000137962.11,3786
ENSG00000117528.10,1345.5
ENSG00000117525.12,802.5
ENSG00000143036.15,1829.5
ENSG00000172339.9,651
ENSG00000152078.8,792
ENSG00000117569.17,1610.5
ENSG00000162627.15,1273.5
ENSG00000117600.11,2061
ENSG00000099260.9,1656
ENSG00000162688.14,4575
ENSG00000117620.11,915
ENSG00000156875.12,1473
ENSG00000156876.9,1974
ENSG00000122435.8,1446
ENSG00000122477.11,1014
ENSG00000137992.13,1177.5
ENSG00000137996.11,1120.5
ENSG00000079335.16,1668
ENSG00000181656.6,1155
ENSG00000162692.9,2066
ENSG00000162694.12,718.5
ENSG00000162695.10,1131
ENSG00000170989.8,1149
ENSG00000060718.17,5266
ENSG00000185946.14,1554
ENSG00000240038.5,1536
ENSG00000134215.14,1704
ENSG00000085491.14,1405.5
ENSG00000162639.14,1182
ENSG00000134186.10,1474.5
ENSG00000116266.9,1779
ENSG00000162641.17,2511
ENSG00000121957.11,2055
ENSG00000121940.14,1422
ENSG00000116299.15,2911.5
ENSG00000031698.11,1578
ENSG00000143126.7,8772
ENSG00000134222.15,1009
ENSG00000134243.10,2290.5
ENSG00000143106.11,639
ENSG00000174151.13,550.8
ENSG00000156097.11,1356
ENSG00000065135.8,1065
ENSG00000116337.14,2387
ENSG00000168765.14,622.5
ENSG00000213366.11,616.5
ENSG00000134184.11,601.5
ENSG00000134201.9,657
ENSG00000134202.9,678
ENSG00000198758.9,1753
ENSG00000184371.12,1251
ENSG00000168710.16,1522.5
ENSG00000156150.6,1032
ENSG00000186150.4,525
ENSG00000116396.12,1888
ENSG00000162775.13,2922
ENSG00000168679.16,1234.2
ENSG00000134248.12,399
ENSG00000143125.5,318
ENSG00000177301.12,1285.5
ENSG00000177272.8,1728
ENSG00000143119.11,660
ENSG00000134255.12,1251
ENSG00000162777.15,1411.5
ENSG00000134216.17,1162
ENSG00000173947.12,526.5
ENSG00000085465.12,2037
ENSG00000116455.12,1029
ENSG00000116459.9,771
ENSG00000143110.10,430.5
ENSG00000121933.16,922.5
ENSG00000116473.13,555
ENSG00000197852.9,894
ENSG00000064703.10,2475
ENSG00000171385.8,1939.5
ENSG00000143079.13,1920
ENSG00000134245.16,1065
ENSG00000007341.17,1577.4
ENSG00000155363.17,2928
ENSG00000155366.15,582
ENSG00000155367.14,1518
ENSG00000184599.12,456
ENSG00000155380.10,1503
ENSG00000081026.17,3912
ENSG00000116793.14,2101.5
ENSG00000081019.12,2409
ENSG00000134242.14,2345
ENSG00000134262.11,1968
ENSG00000118655.4,1599
ENSG00000163349.20,3070.8
ENSG00000116774.10,1140
ENSG00000134207.13,1466
ENSG00000197323.9,3358.5
ENSG00000116752.5,678
ENSG00000175984.13,2701.5
ENSG00000116748.18,2238
ENSG00000213281.4,570
ENSG00000052723.10,630
ENSG00000198765.10,2893.5
ENSG00000134198.8,628.5
ENSG00000134259.3,726
ENSG00000173218.13,1572
ENSG00000118729.11,1200
ENSG00000177551.5,408
ENSG00000173212.4,1089
ENSG00000163399.14,3041
ENSG00000116815.14,750
ENSG00000116824.4,1056
ENSG00000134247.9,2640
ENSG00000134256.11,3066
ENSG00000116830.10,3489
ENSG00000134253.8,1716
ENSG00000134258.15,638
ENSG00000198162.11,1926
ENSG00000183508.4,1176
ENSG00000196505.9,1492.5
ENSG00000065183.14,2832
ENSG00000155761.12,6672
ENSG00000116874.10,873
ENSG00000116882.13,1075.5
ENSG00000203859.8,1119
ENSG00000203857.8,1122
ENSG00000092621.10,1602
ENSG00000134240.10,1464
ENSG00000134193.13,441
ENSG00000134250.16,7416
ENSG00000131791.7,819
ENSG00000131781.11,1285
ENSG00000131778.16,2373
ENSG00000162836.10,1287
ENSG00000265107.2,1077
ENSG00000188092.13,1368
ENSG00000150337.12,1125
ENSG00000184678.9,381
ENSG00000184260.5,390
ENSG00000184270.4,393
ENSG00000178096.8,414
ENSG00000159164.8,2229
ENSG00000136631.11,1645
ENSG00000023902.12,955.5
ENSG00000143401.13,663
ENSG00000118298.9,1014
ENSG00000118292.7,381
ENSG00000159208.14,1026
ENSG00000266472.4,264
ENSG00000117360.11,2052
ENSG00000143374.13,1945
ENSG00000143369.13,1525
ENSG00000143382.12,3065.25
ENSG00000143384.11,821
ENSG00000143420.16,369
ENSG00000143457.9,858
ENSG00000143452.14,1174.5
ENSG00000163131.9,921
ENSG00000143387.11,990
ENSG00000143437.19,2346.75
ENSG00000143379.11,2714.4
ENSG00000143418.18,1143
ENSG00000143412.8,1038
ENSG00000143409.14,1173
ENSG00000143363.14,1089
ENSG00000163141.17,951
ENSG00000143443.9,1026
ENSG00000197622.11,240
ENSG00000213190.3,273
ENSG00000143458.10,1290
ENSG00000143434.14,2817
ENSG00000163154.5,555
ENSG00000163155.10,612
ENSG00000163159.10,1111.5
ENSG00000143398.18,1612.8
ENSG00000159352.14,1138.5
ENSG00000143373.16,3714
ENSG00000143393.15,2199.75
ENSG00000143390.16,1851
ENSG00000143416.19,1399
ENSG00000159377.9,795
ENSG00000143442.20,4127
ENSG00000143375.13,3612
ENSG00000143367.14,1135.5
ENSG00000143376.11,1606.5
ENSG00000159409.13,1323
ENSG00000143436.9,753
ENSG00000143365.15,1525.5
ENSG00000196407.10,744
ENSG00000159445.11,723
ENSG00000197747.7,294
ENSG00000163191.5,318
ENSG00000143536.7,1488
ENSG00000169509.5,300
ENSG00000185966.3,279
ENSG00000163202.4,279
ENSG00000244057.3,285
ENSG00000185962.1,270
ENSG00000187223.3,333
ENSG00000187180.3,333
ENSG00000159455.8,333
ENSG00000187173.3,321
ENSG00000240386.3,357
ENSG00000186226.8,357
ENSG00000172155.9,345
ENSG00000197084.5,357
ENSG00000196734.7,357
ENSG00000186844.5,333
ENSG00000163206.5,351
ENSG00000163207.6,1758
ENSG00000184148.3,240
ENSG00000169474.4,270
ENSG00000163209.13,510
ENSG00000241794.1,219
ENSG00000159527.3,1026
ENSG00000163220.10,345
ENSG00000163221.8,279
ENSG00000143546.8,282
ENSG00000143556.7,306
ENSG00000197956.8,273
ENSG00000196420.6,279
ENSG00000196154.10,306
ENSG00000188015.8,306
ENSG00000196754.9,261
ENSG00000188643.9,312
ENSG00000189334.7,315
ENSG00000160678.10,285
ENSG00000160679.11,584.25
ENSG00000143553.9,411
ENSG00000143621.15,1116
ENSG00000169418.9,3186
ENSG00000143624.12,3129
ENSG00000143554.12,2052
ENSG00000143614.7,1782
ENSG00000143570.16,663
ENSG00000143578.14,1158
ENSG00000143543.13,441
ENSG00000143545.7,490.5
ENSG00000177954.10,255
ENSG00000143549.18,746.4
ENSG00000143612.17,629
ENSG00000143569.17,3096.75
ENSG00000143575.13,768
ENSG00000143595.11,906
ENSG00000143515.15,2789
ENSG00000160712.11,1188
ENSG00000160714.8,1269
ENSG00000160716.4,1509
ENSG00000160710.14,3360
ENSG00000143603.17,1743.75
ENSG00000163344.5,579
ENSG00000163346.15,2152.5
ENSG00000163348.3,1221
ENSG00000160691.17,1588.5
ENSG00000173207.11,240
ENSG00000160688.17,1365.75
ENSG00000163352.5,186
ENSG00000160685.12,1671
ENSG00000163354.13,2322
ENSG00000163357.9,2083.5
ENSG00000143537.12,2416.666667
ENSG00000243364.6,604
ENSG00000143590.12,717
ENSG00000169242.10,585
ENSG00000169241.16,534
ENSG00000179085.7,324
ENSG00000163463.10,411
ENSG00000163462.16,2058
ENSG00000185499.15,746.4545455
ENSG00000169231.12,2742
ENSG00000173171.13,1354.5
ENSG00000177628.14,1475
ENSG00000160767.19,1893
ENSG00000116521.9,1005
ENSG00000176444.17,1497
ENSG00000143630.8,2325
ENSG00000143627.16,1678.5
ENSG00000160752.13,1023
ENSG00000160753.14,1970.25
ENSG00000116539.9,8902.5
ENSG00000125459.13,1693.5
ENSG00000163374.18,2422.2
ENSG00000132676.14,1122
ENSG00000116580.17,6013
ENSG00000132718.8,1296
ENSG00000143622.9,641
ENSG00000173080.5,1125
ENSG00000116584.16,2932
ENSG00000163479.12,552
ENSG00000160803.7,1806
ENSG00000116586.10,333
ENSG00000160789.18,1752
ENSG00000196189.11,2088
ENSG00000160785.12,957
ENSG00000242252.1,303
ENSG00000160781.14,921
ENSG00000198952.8,3051
ENSG00000163472.17,1185
ENSG00000198715.10,1039.5
ENSG00000163468.13,1581
ENSG00000163467.10,340.5
ENSG00000116604.16,1555.5
ENSG00000183856.9,4896
ENSG00000163382.10,867
ENSG00000132702.11,1023
ENSG00000132692.17,2376
ENSG00000132688.10,4866
ENSG00000143320.7,417
ENSG00000143319.15,1062
ENSG00000143303.10,1131
ENSG00000143314.11,651
ENSG00000143321.17,732
ENSG00000143294.13,1476
ENSG00000027869.10,1162
ENSG00000027644.4,3894
ENSG00000198400.10,2382
ENSG00000132694.17,4629
ENSG00000117036.10,985.5
ENSG00000143297.17,2934
ENSG00000163518.9,1548
ENSG00000160856.19,2217
ENSG00000132704.14,1527
ENSG00000163534.13,1226
ENSG00000073754.5,1044
ENSG00000183853.16,2124
ENSG00000158473.6,811
ENSG00000158477.6,984
ENSG00000158481.11,1002
ENSG00000158485.9,1002
ENSG00000163563.7,1224
ENSG00000163564.13,1282.8
ENSG00000163565.17,2190
ENSG00000163568.12,1032
ENSG00000162706.11,1248
ENSG00000213088.8,1014
ENSG00000179639.9,724.5
ENSG00000132703.3,672
ENSG00000158716.7,453
ENSG00000158714.9,694.5
ENSG00000158710.13,631.5
ENSG00000085552.15,3516
ENSG00000162723.8,733.5
ENSG00000143315.6,1272
ENSG00000177807.6,1140
ENSG00000162728.4,1182
ENSG00000162729.12,1842
ENSG00000018625.13,3063
ENSG00000132681.15,1794
ENSG00000143318.11,1191
ENSG00000162734.11,392
ENSG00000132716.17,1794
ENSG00000162735.17,900
ENSG00000122218.13,3688.5
ENSG00000162736.14,1923
ENSG00000171786.5,402
ENSG00000162739.12,887
ENSG00000066294.13,901.8
ENSG00000117090.13,1041
ENSG00000117091.8,745.5
ENSG00000026751.15,680.25
ENSG00000122223.11,1011
ENSG00000179914.4,942
ENSG00000158764.6,978
ENSG00000158769.16,826.5
ENSG00000158773.13,933
ENSG00000186517.12,2918
ENSG00000143217.8,1533
ENSG00000143256.4,465
ENSG00000158793.12,882.75
ENSG00000158796.15,1002
ENSG00000143222.10,504
ENSG00000143224.16,1434
ENSG00000158850.13,1182
ENSG00000158859.9,2514
ENSG00000158864.11,1360
ENSG00000158869.9,261
ENSG00000158874.10,303
ENSG00000158882.11,876
ENSG00000143257.10,958.4
ENSG00000158887.14,843
ENSG00000143252.13,414.6
ENSG00000173110.7,1932
ENSG00000081721.10,1023
ENSG00000118217.5,2011.5
ENSG00000162745.9,2254.5
ENSG00000198929.11,1221
ENSG00000171722.10,786
ENSG00000152332.14,1111
ENSG00000117143.12,1543.5
ENSG00000162733.15,2568
ENSG00000132196.12,1026
ENSG00000117152.12,593.25
ENSG00000143248.11,442
ENSG00000143228.11,1395
ENSG00000185630.17,1200
ENSG00000162761.13,1149
ENSG00000143171.11,1207.5
ENSG00000143198.11,459
ENSG00000143149.11,1557
